,reviewer_average_stars,reviewer_cool,reviewer_funny,reviewer_name,reviewer_review_count,reviewer_useful,user_id
0,5.0,0,0,Jim,6,7,CR2y7yEm4X035ZMzrTtN9Q
1,1.0,0,0,Kelle,2,1,_9GXoHhdxc30ujPaQwh6Ew
2,5.0,0,0,Stephanie,2,1,8mM-nqxjg6pT04kwcjMbsw
3,5.0,0,0,T,2,2,Ch6CdTR2IVaVANr-RglMOg
4,1.0,0,0,Beth,1,0,NZrLmHRyiHmyT1JrfzkCOA
5,3.79,36,30,Amy,19,45,mWx5Sxt_dx-sYBZg6RgJHQ
6,3.83,31,28,Beach,207,130,hryUDaRk7FLuDAYui2oldw
7,3.0,1,1,christine,2,0,2t6fZNLtiqsihVmeO7zggg
8,4.5,2,0,Denis,4,3,mn6F-eP5WU37b-iLTop2mQ
9,3.9,9,5,Shawn,10,24,myXq7PFXkD_yfXT580SXMw
10,3.4,6,3,Carey,6,16,EMpFiVyiaMS58XsLZdS6vA
11,3.4,1,0,Johnatton,5,5,74Y-B-8MJhshV7aYSQ93lQ
12,3.39,49,50,David,83,109,34ir_XnUsrqserEuSZdGQA
13,2.88,1,1,Marcus,8,3,1Aq2NzZGREMRdAkw55V7dg
14,5.0,0,0,Renee,1,0,B7XCvzvcriFc8xfIA-Wg4A
15,2.12,1,6,s,8,4,1aoDw1jVm5UQrVacWg0vnw
16,4.75,3,3,joe,4,7,iH6y1T5AZZxaKpSNmvjGWw
17,4.23,0,2,Na Humma,22,24,2tyadgcxcaEu5LWgLdwLAQ
18,3.64,4,0,Kay,11,10,mc2glxrNAZuPnCudIaoK4Q
19,3.75,3,1,Cara,4,11,LKFo-Z93fhHHF-CkXoXvLw
20,2.5,1,0,Shelly,2,5,09ZCt5inrt35zuJVtxBB5A
21,3.79,31,9,Ashley,56,81,aSwY5VAO1S0uZASZlZgB3A
22,4.5,1,0,Megan,7,3,oh3BckWd5WXSANfGlnjErQ
23,4.0,0,0,Ann-Marie,9,7,y5YxcvgbQX_uVW0UtHWKxA
24,3.67,1,0,Sandy,3,1,Vu29H1sy1poRld4LIL2Jqw
25,5.0,1,0,Juli,2,1,iK7I2HQ8kiyms_XuENr55w
26,5.0,0,0,Mike,1,0,QlSVps_q61IThBo489_Zyw
27,3.0,0,5,Jordan,3,15,mzenirXt-7sZR2RhkhvLDQ
28,3.62,5,13,Elizabeth,16,21,qMCT8OblN3finTvXcba-oA
